InvoiceID,InvoiceDate,DueDate,PaymentDate,CustomerID,CustomerName,Region,Country,City,Segment,PaymentTerms,SalesRepID,SalesRepName,InvoiceAmount,AmountReceived,OutstandingAmount,PaymentStatus,DaysToPay,DaysOverdue,AgingBucket,AgingBucketSort
AR-202506-00014,2025-06-16,2025-07-31,2025-08-03,CUST1280,Epsilon Partners,Europe,Italy,Rome,SME,Net 45,REP030,Ben Hughes,6266.38,6266.38,0.0,Paid,48.0,0,Current,1
AR-202403-00015,2024-03-13,2024-04-12,2024-04-15,CUST0206,Vertex Supplies,UK,England,Manchester,SME,Net 30,REP048,Ella Garcia,9703.61,9703.61,0.0,Paid,33.0,0,Current,1
AR-202507-00016,2025-07-17,2025-08-31,2025-08-25,CUST0637,Maple Partners,Africa,Kenya,Nairobi,SME,Net 45,REP045,Chinwe Nguyen,17802.12,17802.12,0.0,Paid,39.0,0,Current,1
AR-202502-00017,2025-02-05,2025-03-22,2025-05-03,CUST1067,Nova Holdings,UK,England,Leeds,SME,Net 45,REP031,Kemi Nguyen,12094.77,12094.77,0.0,Paid,87.0,0,Current,1
AR-202501-00018,2025-01-09,2025-02-08,,CUST0612,River Retailers,Africa,South Africa,Cape Town,Enterprise,Net 30,REP019,Ben Campbell,6970.5,0.0,6970.5,Overdue,,234,90+,5
AR-202509-00019,2025-09-12,2025-10-12,,CUST0180,Orion Trading,Africa,South Africa,Cape Town,Mid-Market,Net 30,REP051,Ben Dubois,20837.73,0.0,20837.73,Open,,0,Current,1
AR-202507-00020,2025-07-29,2025-08-28,,CUST0982,Summit Industries,UK,England,Leeds,SME,Net 30,REP047,Priya Baker,14638.07,0.0,14638.07,Overdue,,33,31-60,3
AR-202507-00021,2025-07-27,2025-08-26,2025-09-05,CUST0782,Umbra Partners,Africa,South Africa,Cape Town,SME,Net 30,REP046,Ben Williams,7811.58,2703.67,5107.91,Overdue,40.0,35,31-60,3
AR-202501-00022,2025-01-26,2025-02-10,2025-02-11,CUST0989,Aspen Industries,Europe,Germany,Berlin,SME,Net 15,REP013,Ella Davis,11337.96,11337.96,0.0,Paid,16.0,0,Current,1
AR-202503-00023,2025-03-24,2025-05-08,2025-05-10,CUST0935,Beta Enterprises,Africa,South Africa,Johannesburg,SME,Net 45,REP019,Ben Campbell,7330.2,7330.2,0.0,Paid,47.0,0,Current,1
AR-202410-00024,2024-10-17,2024-11-16,2024-11-21,CUST0829,Cedar Industries,Europe,France,Paris,SME,Net 30,REP006,Priya Brown,24846.96,24846.96,0.0,Paid,35.0,0,Current,1
AR-202503-00025,2025-03-07,2025-04-06,2025-05-04,CUST0662,Nova Retailers,Europe,Germany,Berlin,SME,Net 30,REP027,Tunde Campbell,19398.63,13845.77,5552.86,Overdue,58.0,177,90+,5
AR-202401-00026,2024-01-27,2024-02-11,2024-03-08,CUST0420,Alpha Retailers,Africa,Nigeria,Abuja,Enterprise,Net 15,REP023,Kemi Lee,23376.51,13950.21,9426.3,Overdue,41.0,597,90+,5
AR-202407-00027,2024-07-31,2024-09-14,2024-10-23,CUST1141,Harbor Industries,UK,England,Leeds,Enterprise,Net 45,REP003,Noah Muller,21567.62,21567.62,0.0,Paid,84.0,0,Current,1
AR-202409-00028,2024-09-03,2024-10-03,2024-10-11,CUST0647,Vertex Holdings,UK,England,Manchester,Mid-Market,Net 30,REP056,Priya Khan,6840.31,6840.31,0.0,Paid,38.0,0,Current,1
AR-202505-00029,2025-05-02,2025-06-01,,CUST0608,Xenon Solutions,Europe,Germany,Berlin,SME,Net 30,REP033,Ravi Okoye,15249.68,0.0,15249.68,Overdue,,121,90+,5
AR-202503-00030,2025-03-04,2025-05-03,2025-05-03,CUST0890,Umbra Trading,Europe,Spain,Madrid,Mid-Market,Net 60,REP041,Quinn Dubois,2842.49,2842.49,0.0,Paid,60.0,0,Current,1
AR-202504-00031,2025-04-13,2025-05-13,2025-06-03,CUST1019,Beta Partners,UK,England,London,Enterprise,Net 30,REP047,Priya Baker,7288.25,7288.25,0.0,Paid,51.0,0,Current,1
AR-202412-00032,2024-12-07,2025-01-06,2025-01-06,CUST1450,Summit Retailers,Africa,Nigeria,Abuja,SME,Net 30,REP038,Ben Chen,5365.86,5365.86,0.0,Paid,30.0,0,Current,1
AR-202507-00033,2025-07-13,2025-08-27,2025-10-02,CUST0544,Orion Group,Europe,Spain,Madrid,SME,Net 45,REP006,Priya Brown,21660.26,21660.26,0.0,Paid,81.0,0,Current,1
AR-202411-00034,2024-11-30,2024-12-30,2025-01-01,CUST1208,Harbor Logistics,UK,England,Manchester,Mid-Market,Net 30,REP002,Ike Khan,2937.21,2937.21,0.0,Paid,32.0,0,Current,1
AR-202412-00035,2024-12-19,2025-02-02,,CUST0316,Quantum Trading,Africa,Kenya,Nairobi,Mid-Market,Net 45,REP028,Ike Brown,15755.87,0.0,15755.87,Overdue,,240,90+,5
AR-202503-00036,2025-03-14,2025-04-13,2025-04-15,CUST0089,River Enterprises,Europe,Italy,Rome,SME,Net 30,REP036,Ella Baker,19086.64,19086.64,0.0,Paid,32.0,0,Current,1
AR-202507-00037,2025-07-30,2025-09-13,2025-09-14,CUST1236,Maple Holdings,Africa,Nigeria,Lagos,SME,Net 45,REP001,Ravi Ahmed,14983.08,14983.08,0.0,Paid,46.0,0,Current,1
AR-202405-00038,2024-05-22,2024-06-21,2024-06-23,CUST0772,Delta Retailers,UK,Scotland,Glasgow,SME,Net 30,REP032,Sara Garcia,11888.59,11888.59,0.0,Paid,32.0,0,Current,1
AR-202508-00039,2025-08-21,2025-09-20,2025-10-14,CUST0988,Summit Partners,Europe,France,Paris,SME,Net 30,REP034,Ola Patel,8388.31,8388.31,0.0,Paid,54.0,0,Current,1
AR-202505-00040,2025-05-28,2025-07-12,2025-07-14,CUST1368,Vertex Retailers,Africa,South Africa,Cape Town,Mid-Market,Net 45,REP011,Maya Williams,21580.57,21580.57,0.0,Paid,47.0,0,Current,1
AR-202502-00041,2025-02-01,2025-03-03,2025-03-04,CUST1104,Alpha Solutions,Europe,France,Paris,SME,Net 30,REP030,Ben Hughes,10117.31,10117.31,0.0,Paid,31.0,0,Current,1
AR-202411-00042,2024-11-10,2024-12-10,2024-12-12,CUST0744,Willow Holdings,Europe,Netherlands,Amsterdam,Mid-Market,Net 30,REP053,Julia Lee,14758.37,14758.37,0.0,Paid,32.0,0,Current,1
AR-202507-00043,2025-07-12,2025-09-10,2025-09-11,CUST0714,Xenon Solutions,UK,England,Leeds,SME,Net 60,REP043,Ravi Nguyen,10222.07,10222.07,0.0,Paid,61.0,0,Current,1
AR-202504-00044,2025-04-19,2025-06-03,2025-07-07,CUST0615,Beta Supplies,UK,England,Birmingham,SME,Net 45,REP043,Ravi Nguyen,14060.69,14060.69,0.0,Paid,79.0,0,Current,1
AR-202403-00045,2024-03-21,2024-04-20,2024-04-15,CUST1445,Aspen Industries,Europe,Italy,Rome,Mid-Market,Net 30,REP030,Ben Hughes,9557.57,9557.57,0.0,Paid,25.0,0,Current,1
AR-202406-00046,2024-06-25,2024-08-09,2024-08-04,CUST0637,Maple Partners,Africa,Kenya,Nairobi,SME,Net 45,REP019,Ben Campbell,11035.81,11035.81,0.0,Paid,40.0,0,Current,1
AR-202505-00047,2025-05-04,2025-06-03,2025-06-02,CUST0342,Maple Solutions,Europe,Germany,Berlin,SME,Net 30,REP013,Ella Davis,20163.08,20163.08,0.0,Paid,29.0,0,Current,1
AR-202408-00048,2024-08-07,2024-09-06,2024-10-06,CUST0992,Aspen Logistics,UK,England,Manchester,SME,Net 30,REP054,Kemi Ahmed,18189.43,18189.43,0.0,Paid,60.0,0,Current,1
AR-202411-00049,2024-11-13,2025-01-12,2025-01-12,CUST0224,River Retailers,UK,England,Birmingham,SME,Net 60,REP008,Ike Baker,20678.77,20678.77,0.0,Paid,60.0,0,Current,1
AR-202509-00050,2025-09-30,2025-10-30,2025-11-01,CUST1466,Aspen Solutions,Africa,Kenya,Nairobi,SME,Net 30,REP023,Kemi Lee,22412.98,22412.98,0.0,Paid,32.0,0,Current,1
AR-202509-00051,2025-09-06,2025-10-06,2025-10-07,CUST0968,Willow Trading,UK,Scotland,Glasgow,SME,Net 30,REP056,Priya Khan,9310.66,9310.66,0.0,Paid,31.0,0,Current,1
AR-202412-00052,2024-12-27,2025-01-26,2025-02-04,CUST0743,River Group,Africa,South Africa,Cape Town,SME,Net 30,REP039,Julia Singh,1080.66,1080.66,0.0,Paid,39.0,0,Current,1
AR-202507-00053,2025-07-24,2025-09-07,2025-09-07,CUST0810,Alpha Enterprises,Africa,Nigeria,Lagos,SME,Net 45,REP052,Priya Smith,14383.77,14383.77,0.0,Paid,45.0,0,Current,1
AR-202412-00054,2024-12-17,2025-01-31,,CUST0637,Maple Partners,Africa,Kenya,Nairobi,SME,Net 45,REP037,Maya Patel,7972.07,0.0,7972.07,Overdue,,242,90+,5
AR-202503-00055,2025-03-07,2025-04-06,2025-04-22,CUST0895,Pioneer Logistics,Africa,South Africa,Cape Town,SME,Net 30,REP055,Ike Williams,11995.26,11995.26,0.0,Paid,46.0,0,Current,1
AR-202407-00056,2024-07-01,2024-08-15,2024-08-16,CUST0912,Beta Group,Africa,South Africa,Johannesburg,SME,Net 45,REP009,Ike Okoye,6683.55,6683.55,0.0,Paid,46.0,0,Current,1
AR-202504-00057,2025-04-28,2025-06-12,2025-06-14,CUST0319,Delta Holdings,Europe,Spain,Madrid,Mid-Market,Net 45,REP058,Ike Okoye,15860.61,15860.61,0.0,Paid,47.0,0,Current,1
AR-202411-00058,2024-11-05,2024-12-20,2025-01-08,CUST0623,Alpha Retailers,Europe,Italy,Rome,SME,Net 45,REP024,David Rossi,7943.43,4413.21,3530.22,Overdue,64.0,284,90+,5
AR-202411-00059,2024-11-21,2024-12-21,2025-01-20,CUST0816,Radiant Solutions,Europe,Netherlands,Amsterdam,Mid-Market,Net 30,REP024,David Rossi,15497.72,15497.72,0.0,Paid,60.0,0,Current,1
AR-202403-00060,2024-03-18,2024-05-02,2024-05-02,CUST0128,Orion Partners,Europe,Netherlands,Amsterdam,SME,Net 45,REP014,Sara Nguyen,23545.21,23545.21,0.0,Paid,45.0,0,Current,1
AR-202404-00061,2024-04-02,2024-05-02,2024-05-09,CUST1279,Nova Group,UK,England,London,Mid-Market,Net 30,REP025,Ada Davis,9877.79,1989.74,7888.05,Overdue,37.0,516,90+,5
AR-202411-00062,2024-11-08,2024-12-08,2024-12-02,CUST1058,Maple Trading,UK,England,Birmingham,Mid-Market,Net 30,REP003,Noah Muller,18323.0,18323.0,0.0,Paid,24.0,0,Current,1
AR-202508-00063,2025-08-22,2025-09-21,2025-09-24,CUST0964,Delta Solutions,UK,England,Manchester,SME,Net 30,REP025,Ada Davis,16890.07,16890.07,0.0,Paid,33.0,0,Current,1
AR-202411-00064,2024-11-14,2024-12-14,2024-12-29,CUST0264,Radiant Partners,Africa,South Africa,Johannesburg,SME,Net 30,REP010,Tunde Khan,11944.58,2542.89,9401.69,Overdue,45.0,290,90+,5
AR-202506-00065,2025-06-19,2025-08-03,2025-08-06,CUST0544,Orion Group,Europe,Spain,Madrid,SME,Net 45,REP036,Ella Baker,16652.39,16652.39,0.0,Paid,48.0,0,Current,1
AR-202507-00066,2025-07-28,2025-09-11,2025-09-13,CUST0926,Cedar Solutions,Africa,Nigeria,Abuja,SME,Net 45,REP055,Ike Williams,20488.94,20488.94,0.0,Paid,47.0,0,Current,1
AR-202404-00067,2024-04-25,2024-06-24,2024-06-27,CUST1153,Harbor Holdings,Europe,Italy,Rome,SME,Net 60,REP033,Ravi Okoye,15665.05,15665.05,0.0,Paid,63.0,0,Current,1
AR-202406-00068,2024-06-30,2024-07-30,2024-08-09,CUST0172,Epsilon Group,UK,Scotland,Glasgow,SME,Net 30,REP002,Ike Khan,14263.87,14263.87,0.0,Paid,40.0,0,Current,1
AR-202403-00069,2024-03-07,2024-03-22,2024-03-24,CUST1301,Xenon Enterprises,Africa,Nigeria,Lagos,SME,Net 15,REP046,Ben Williams,16199.29,16199.29,0.0,Paid,17.0,0,Current,1
AR-202412-00070,2024-12-08,2025-02-06,2025-02-06,CUST0508,Umbra Industries,Africa,Nigeria,Abuja,Enterprise,Net 60,REP022,Kemi Garcia,20698.29,20698.29,0.0,Paid,60.0,0,Current,1
AR-202507-00071,2025-07-24,2025-08-23,2025-08-25,CUST1313,Radiant Supplies,Europe,Germany,Berlin,SME,Net 30,REP030,Ben Hughes,11880.33,11880.33,0.0,Paid,32.0,0,Current,1
AR-202407-00072,2024-07-01,2024-07-31,2024-08-03,CUST0081,River Group,Africa,South Africa,Johannesburg,Mid-Market,Net 30,REP020,Hannah Lee,4282.19,4282.19,0.0,Paid,33.0,0,Current,1
AR-202411-00073,2024-11-03,2024-12-18,2024-12-21,CUST0327,Pioneer Partners,Africa,Nigeria,Abuja,Mid-Market,Net 45,REP028,Ike Brown,24908.12,24908.12,0.0,Paid,48.0,0,Current,1
AR-202401-00074,2024-01-26,2024-02-10,2024-02-13,CUST1354,Beta Logistics,UK,England,Birmingham,SME,Net 15,REP043,Ravi Nguyen,23387.84,23387.84,0.0,Paid,18.0,0,Current,1
AR-202506-00075,2025-06-14,2025-07-14,2025-07-14,CUST0272,Xenon Trading,Europe,Spain,Madrid,Mid-Market,Net 30,REP041,Quinn Dubois,18870.34,18870.34,0.0,Paid,30.0,0,Current,1
AR-202412-00076,2024-12-20,2025-01-19,2025-01-24,CUST0275,Epsilon Supplies,Europe,Spain,Madrid,SME,Net 30,REP030,Ben Hughes,10084.6,10084.6,0.0,Paid,35.0,0,Current,1
AR-202506-00077,2025-06-24,2025-07-24,2025-08-24,CUST1246,Alpha Group,Africa,Nigeria,Abuja,Mid-Market,Net 30,REP037,Maya Patel,17569.05,7104.14,10464.91,Overdue,61.0,68,61-90,4
AR-202408-00078,2024-08-28,2024-10-12,2024-10-14,CUST1114,Alpha Logistics,Africa,Nigeria,Lagos,Enterprise,Net 45,REP052,Priya Smith,11854.04,11854.04,0.0,Paid,47.0,0,Current,1
AR-202406-00079,2024-06-22,2024-07-22,2024-07-22,CUST0996,Cedar Supplies,Europe,Netherlands,Amsterdam,Mid-Market,Net 30,REP024,David Rossi,16466.5,16466.5,0.0,Paid,30.0,0,Current,1
AR-202411-00080,2024-11-17,2025-01-01,2025-01-01,CUST0443,Alpha Solutions,Africa,Nigeria,Abuja,SME,Net 45,REP007,Liam Chen,13152.1,13152.1,0.0,Paid,45.0,0,Current,1
AR-202502-00081,2025-02-21,2025-04-07,2025-05-10,CUST0965,Beta Partners,Europe,Germany,Berlin,SME,Net 45,REP013,Ella Davis,11744.92,11744.92,0.0,Paid,78.0,0,Current,1
AR-202502-00082,2025-02-13,2025-03-15,2025-03-25,CUST0671,Cedar Industries,UK,England,London,SME,Net 30,REP008,Ike Baker,9636.64,5175.89,4460.75,Overdue,40.0,199,90+,5
AR-202509-00083,2025-09-17,2025-10-17,2025-10-18,CUST1063,Cedar Supplies,UK,England,London,SME,Net 30,REP032,Sara Garcia,11465.44,11465.44,0.0,Paid,31.0,0,Current,1
AR-202409-00084,2024-09-27,2024-10-27,,CUST0593,Harbor Group,Europe,Spain,Madrid,SME,Net 30,REP029,Hannah Baker,22359.75,0.0,22359.75,Overdue,,338,90+,5
AR-202501-00085,2025-01-19,2025-03-05,2025-03-05,CUST0303,Vertex Industries,Europe,Netherlands,Amsterdam,Mid-Market,Net 45,REP006,Priya Brown,10766.55,10766.55,0.0,Paid,45.0,0,Current,1
AR-202508-00086,2025-08-24,2025-10-08,2025-10-03,CUST0152,Summit Supplies,UK,Scotland,Glasgow,SME,Net 45,REP047,Priya Baker,2621.63,2621.63,0.0,Paid,40.0,0,Current,1
AR-202405-00087,2024-05-04,2024-06-03,,CUST0674,River Trading,Africa,Kenya,Nairobi,SME,Net 30,REP046,Ben Williams,12894.99,0.0,12894.99,Overdue,,484,90+,5
AR-202412-00088,2024-12-19,2025-01-18,2025-01-21,CUST1267,Cedar Logistics,Africa,South Africa,Cape Town,Enterprise,Net 30,REP023,Kemi Lee,4753.54,4753.54,0.0,Paid,33.0,0,Current,1
AR-202408-00089,2024-08-14,2024-09-13,2024-09-13,CUST0375,Delta Enterprises,Europe,Italy,Rome,Mid-Market,Net 30,REP044,Liam Smith,15179.73,15179.73,0.0,Paid,30.0,0,Current,1
AR-202501-00090,2025-01-08,2025-02-07,2025-02-09,CUST0417,Aspen Holdings,Africa,Kenya,Nairobi,Mid-Market,Net 30,REP028,Ike Brown,18837.33,18837.33,0.0,Paid,32.0,0,Current,1
AR-202408-00091,2024-08-12,2024-09-11,2024-09-06,CUST1063,Cedar Supplies,UK,England,London,SME,Net 30,REP004,Chinwe Ahmed,19078.84,19078.84,0.0,Paid,25.0,0,Current,1
AR-202407-00092,2024-07-11,2024-08-25,2024-09-18,CUST1221,Pioneer Retailers,Europe,Spain,Madrid,SME,Net 45,REP024,David Rossi,22332.43,22332.43,0.0,Paid,69.0,0,Current,1
AR-202402-00093,2024-02-05,2024-03-06,,CUST0895,Pioneer Logistics,Africa,South Africa,Cape Town,SME,Net 30,REP007,Liam Chen,12766.29,0.0,12766.29,Overdue,,573,90+,5
AR-202412-00094,2024-12-08,2025-01-07,,CUST0346,Terra Holdings,UK,England,Birmingham,SME,Net 30,REP008,Ike Baker,17040.59,0.0,17040.59,Overdue,,266,90+,5
AR-202505-00095,2025-05-09,2025-06-23,,CUST1251,Beta Trading,UK,England,London,Mid-Market,Net 45,REP031,Kemi Nguyen,17428.01,0.0,17428.01,Overdue,,99,90+,5
AR-202508-00096,2025-08-05,2025-09-04,2025-10-10,CUST0474,Maple Logistics,Europe,France,Paris,SME,Net 30,REP017,Tunde Williams,9900.89,9900.89,0.0,Paid,66.0,0,Current,1
AR-202409-00097,2024-09-07,2024-09-22,2024-10-05,CUST1064,Umbra Enterprises,UK,England,London,Mid-Market,Net 15,REP004,Chinwe Ahmed,21219.33,21219.33,0.0,Paid,28.0,0,Current,1
AR-202505-00098,2025-05-09,2025-06-08,,CUST0044,Vertex Retailers,Europe,Spain,Madrid,SME,Net 30,REP044,Liam Smith,3600.76,0.0,3600.76,Overdue,,114,90+,5
AR-202504-00099,2025-04-25,2025-05-25,2025-05-20,CUST0288,Willow Supplies,Africa,Kenya,Nairobi,Enterprise,Net 30,REP028,Ike Brown,14034.94,14034.94,0.0,Paid,25.0,0,Current,1
AR-202409-00100,2024-09-10,2024-10-10,2024-10-11,CUST0259,Radiant Industries,Africa,South Africa,Cape Town,SME,Net 30,REP051,Ben Dubois,1506.88,1506.88,0.0,Paid,31.0,0,Current,1
AR-202403-00101,2024-03-20,2024-04-19,,CUST0783,Beta Industries,Africa,Nigeria,Lagos,Mid-Market,Net 30,REP052,Priya Smith,23155.5,0.0,23155.5,Overdue,,529,90+,5
AR-202504-00102,2025-04-01,2025-05-31,2025-05-31,CUST0645,Orion Retailers,UK,England,Leeds,SME,Net 60,REP040,Noah Rossi,1465.05,1465.05,0.0,Paid,60.0,0,Current,1
AR-202501-00103,2025-01-27,2025-02-26,2025-03-31,CUST1244,Terra Supplies,Africa,South Africa,Johannesburg,SME,Net 30,REP046,Ben Williams,1175.96,546.1,629.86,Overdue,63.0,216,90+,5
AR-202509-00104,2025-09-09,2025-10-09,2025-10-11,CUST0639,Nova Supplies,Europe,Spain,Madrid,Mid-Market,Net 30,REP006,Priya Brown,2251.9,2251.9,0.0,Paid,32.0,0,Current,1
AR-202502-00105,2025-02-11,2025-04-12,2025-04-27,CUST0224,River Retailers,UK,England,Birmingham,SME,Net 60,REP056,Priya Khan,3268.68,3268.68,0.0,Paid,75.0,0,Current,1
AR-202506-00106,2025-06-06,2025-07-06,2025-07-08,CUST0906,Terra Trading,Europe,Spain,Madrid,SME,Net 30,REP059,Sara Singh,3192.18,3192.18,0.0,Paid,32.0,0,Current,1
AR-202411-00107,2024-11-29,2024-12-29,2025-01-06,CUST0576,Alpha Enterprises,Africa,Nigeria,Lagos,SME,Net 30,REP057,Ola Garcia,1461.47,371.73,1089.74,Overdue,38.0,275,90+,5
AR-202501-00108,2025-01-20,2025-02-19,2025-02-22,CUST0843,Quantum Holdings,Africa,South Africa,Johannesburg,SME,Net 30,REP001,Ravi Ahmed,21106.17,8348.82,12757.35,Overdue,33.0,223,90+,5
AR-202402-00109,2024-02-26,2024-04-26,2024-04-27,CUST0688,Quantum Retailers,UK,England,Leeds,SME,Net 60,REP005,Sara Chen,21582.68,21582.68,0.0,Paid,61.0,0,Current,1
AR-202406-00110,2024-06-18,2024-07-18,2024-08-13,CUST0001,Willow Enterprises,UK,England,Leeds,SME,Net 30,REP056,Priya Khan,8547.41,3005.48,5541.93,Overdue,56.0,439,90+,5
AR-202505-00111,2025-05-05,2025-06-19,,CUST0544,Orion Group,Europe,Spain,Madrid,SME,Net 45,REP026,Maya Campbell,21186.4,0.0,21186.4,Overdue,,103,90+,5
AR-202412-00112,2024-12-16,2025-01-15,2025-01-22,CUST1126,Quantum Logistics,Europe,Germany,Berlin,Enterprise,Net 30,REP042,Julia Dubois,4076.65,4076.65,0.0,Paid,37.0,0,Current,1
AR-202403-00113,2024-03-23,2024-04-07,,CUST0825,Willow Enterprises,Europe,France,Paris,Mid-Market,Net 15,REP036,Ella Baker,14861.99,0.0,14861.99,Overdue,,541,90+,5
AR-202410-00114,2024-10-19,2024-11-18,2024-12-12,CUST0078,Orion Partners,Africa,Nigeria,Lagos,SME,Net 30,REP023,Kemi Lee,17961.31,17961.31,0.0,Paid,54.0,0,Current,1
AR-202407-00115,2024-07-21,2024-08-20,2024-08-23,CUST0889,Summit Supplies,Africa,Kenya,Nairobi,SME,Net 30,REP020,Hannah Lee,13281.28,13281.28,0.0,Paid,33.0,0,Current,1
AR-202410-00116,2024-10-30,2024-11-29,2024-11-29,CUST0551,Aspen Group,Europe,Italy,Rome,Mid-Market,Net 30,REP027,Tunde Campbell,23580.13,23580.13,0.0,Paid,30.0,0,Current,1
AR-202406-00117,2024-06-06,2024-07-21,2024-08-12,CUST1350,Aspen Retailers,Europe,Netherlands,Amsterdam,SME,Net 45,REP021,Ella Hughes,7699.79,7699.79,0.0,Paid,67.0,0,Current,1
AR-202403-00118,2024-03-14,2024-04-13,2024-04-15,CUST0821,Orion Logistics,Africa,South Africa,Cape Town,SME,Net 30,REP001,Ravi Ahmed,19030.77,19030.77,0.0,Paid,32.0,0,Current,1
AR-202411-00119,2024-11-12,2025-01-11,2025-01-11,CUST1473,Alpha Solutions,UK,England,Leeds,SME,Net 60,REP040,Noah Rossi,14949.23,14949.23,0.0,Paid,60.0,0,Current,1
AR-202505-00120,2025-05-06,2025-06-20,2025-06-17,CUST0495,Orion Retailers,UK,England,Birmingham,SME,Net 45,REP003,Noah Muller,20174.45,20174.45,0.0,Paid,42.0,0,Current,1
AR-202508-00121,2025-08-23,2025-10-07,2025-10-28,CUST0883,Umbra Industries,UK,England,Manchester,SME,Net 45,REP043,Ravi Nguyen,22631.07,22631.07,0.0,Paid,66.0,0,Current,1
AR-202507-00122,2025-07-20,2025-09-03,2025-09-05,CUST0303,Vertex Industries,Europe,Netherlands,Amsterdam,Mid-Market,Net 45,REP014,Sara Nguyen,22975.2,22975.2,0.0,Paid,47.0,0,Current,1
AR-202506-00123,2025-06-27,2025-08-11,2025-08-26,CUST0721,River Trading,Europe,Netherlands,Amsterdam,Mid-Market,Net 45,REP044,Liam Smith,17891.21,17891.21,0.0,Paid,60.0,0,Current,1
AR-202403-00124,2024-03-18,2024-05-02,2024-05-02,CUST0781,Terra Group,Africa,South Africa,Johannesburg,Mid-Market,Net 45,REP035,Priya Lee,2331.61,2331.61,0.0,Paid,45.0,0,Current,1
AR-202408-00125,2024-08-28,2024-09-27,2024-09-29,CUST0789,Pioneer Trading,UK,England,London,Enterprise,Net 30,REP003,Noah Muller,16169.94,16169.94,0.0,Paid,32.0,0,Current,1
AR-202501-00126,2025-01-13,2025-02-12,2025-02-13,CUST0537,Cedar Solutions,Africa,South Africa,Johannesburg,SME,Net 30,REP057,Ola Garcia,16668.73,16668.73,0.0,Paid,31.0,0,Current,1
AR-202410-00127,2024-10-18,2024-12-02,2024-12-24,CUST0412,Aspen Group,Africa,Nigeria,Abuja,Mid-Market,Net 45,REP010,Tunde Khan,15019.18,15019.18,0.0,Paid,67.0,0,Current,1
AR-202506-00128,2025-06-04,2025-07-04,2025-07-28,CUST0704,Terra Industries,Europe,Germany,Berlin,Enterprise,Net 30,REP018,Liam Khan,16624.18,16624.18,0.0,Paid,54.0,0,Current,1
